source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,mass_flame,mass_flame_lower,mass_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,radius_flame,radius_flame_lower,radius_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame
6073573215330461952,191.47157086795116,-55.114536629695976,2016.0,97.80907593742921,0.023069251,350.7684023750912,0.013704215,-137.0006903813813,0.017651258,6.376174,0.26287648,false,,,,,,,,,,,,,,,,,,,
6078114541943893888,189.46009727129754,-52.00134627910898,2016.0,105.34666432766488,0.021332793,-1034.7101149952066,0.01854226,29.79226493193891,0.01669213,-5.9253745,0.1364741,false,3163.5781,3161.2812,3213.8474,-0.7917,-0.8034,-0.5853,,,,0.024904924,0.019904483,0.029905183,0.5254821,0.47169197,0.5792704,,,,20
6109610086872510592,210.96248100755366,-42.699347027825176,2016.0,100.60251218748147,0.033572633,-379.2833529392459,0.034210697,-290.5102813099834,0.04124811,-0.28728175,0.9121105,false,,,,,,,,,,,,,,,,,,,
6109949904687424640,212.99539892266262,-41.539721990460095,2016.0,109.7322981748391,0.23160812,-704.2213968934277,0.28878382,-67.64795461011596,0.3890424,-13.184802,2.3681943,false,,,,,,,,,,,,,,,,,,,
6114232433761438208,209.53254015680207,-39.63592927128449,2016.0,86.5404506772896,0.025836196,1735.887684732574,0.027514044,-888.020995395279,0.0280369,130.79405,0.666089,false,3100.0505,3100.008,3100.4556,-0.4277,-0.4312,-0.4251,,,,0.002379485,0.002379247,0.002379723,0.1649595,0.1616603,0.16825871,,,,20
6118581861234228352,216.36501919485525,-36.841877719814676,2016.0,84.42185654875391,0.31180286,-285.0581855372661,0.3194707,-469.4462994488617,0.33719668,,,false,,,,,,,,,,,,,,,,,,,
6133474952391837824,190.18807526858592,-43.563321977327206,2016.0,124.18513331297466,0.029509502,-782.089989185698,0.024142688,689.5613585623493,0.02580564,-35.488182,0.17116204,false,3075.3416,3073.0513,3089.7136,-0.8556,-0.8595,-0.8238,,,,0.0052580484,0.01,0.01025806,0.25544256,0.14014435,0.37700337,,,,20
6135947032490329472,194.7766445532381,-43.607963562590925,2016.0,129.4287903858344,0.06204019,1102.9193084108322,0.06342597,-264.5363709034125,0.049224913,,,false,,,,,,,,,,,,,,,,,,,
6137710099384586240,198.28274383514085,-41.5109360365971,2016.0,84.31428584114606,0.44667673,-1031.6937155089452,0.4211918,23.207876785233587,0.38781935,-41.22001,1.1320074,false,,,,,,,,,,,,,,,,,,,
6153483658836320384,189.70080543573764,-38.387409124376816,2016.0,150.07810926426842,0.032217305,-665.1636498289203,0.032372553,-1312.6384604492498,0.025047397,28.026112,0.24439529,false,,,,,,,,,,,,,,,,,,,
6160573275451466752,191.62349103261755,-31.660402573466524,2016.0,86.81704226710433,1.4892788,-14.16300502088486,1.1618125,-562.1881840037391,0.89521235,,,false,,,,,,,,,,,,,,,,,,,
6166376978860425600,200.0114262423646,-35.414268506604664,2016.0,73.2746639511502,0.030994257,-851.5654298863682,0.029672878,-465.6168571418792,0.026868245,-31.855875,0.23349993,false,3176.62,3175.8232,3178.059,-1.0319,-1.0331,-1.0281,,,,0.007276001,0.01,0.012276021,0.28161117,0.22859617,0.37853563,,,,20
6171593062022433920,206.69006617532062,-31.823053176784082,2016.0,73.44179629046599,0.058694273,-343.22586748806737,0.05479439,158.3777690922588,0.052829556,,,false,,,,,,,,,,,,,,,,,,,
6173812151364882688,209.30431353578368,-29.375884964102998,2016.0,75.5089282840293,0.03100101,-23.716029125227834,0.031345896,-453.81277984595704,0.03203623,3.5535345,0.34301332,false,3093.4543,3089.1812,3103.0166,-0.8931,-0.9079,-0.8521,,,,0.009651984,0.01,0.014652007,0.34192455,0.33271784,0.43075186,,,,20
