query_id,main_id,ra,dec,otype,sp_type,ids,V
"CNS5 1053","* omi02 Eri B",63.84081549227875,-7.658112218552501,"WD*","DA2.9","2MASS J04152196-0739254|GJ 166 B|Gaia DR3 3195919254111315712|* omi02 Eri B|*  40 Eri B|2E   957|8pc 198.24B|AAVSO 0410-07C|ADS  3093 B|BD-07   781|CNS5 1053|CCDM J04153-0739B|CSI-07   781  1|Ci 20  289|EGGR  33|G 160-60|GC  5140|GCRV  2441|GEN# +1.00026976B|HD  26976|LFT  339|LHS    24|LP    7-781 A|LPM 182|LTT  1908|NLTT 12868|SAO 131065|UBV    4141|UBV M  10045|UCAC2  29035414|WD 0413-07|WD 0413-077|WD 0413-074|Zkh  59|2E 0412.9-0745|WDS J04153-0739B|** STF  518B|PMSC 04107-0748B|WEB  3795|Gaia DR2 3195919254110817408",9.53
"CNS5 1054","2MASSI J0415195-093506",63.831432,-9.585187000000001,"BD*","T8.0","TIC 67773411|2MASS J04151954-0935066|2MASSI J0415195-093506|2MASSW J0415195-093506|CNS5 1054|[B2006] J041519.5-093506|WISEP J041521.20-093500.6|WISE J041521.21-093500.6|WISEA J041521.26-093500.4|EQ J0415-0935",
"CNS5 1059","HD  27274",63.98708975682542,-53.30980741951833,"PM*","K4.5Vk:","TIC 219234564|GJ 167|HIP 19884|Gaia DR3 4780166972587269120|2MASS J04155689-5318353|PLX  950|CD-53   889|CPC 19  1305|CPD-53   672|Ci 20  291|GC  5176|GCRV 54940|GEN# +1.00027274|HD  27274|HIC  19884|LFT  342|LHS  1650|LPM 184|LTT  1924|NLTT 12938|CNS5 1059|PM 04147-5326|PPM 333341|SAO 233456|SKY#  6526|UBV    4165|UBV M  10069|UGP  78|uvby98 100027274|PLX  950.00|TYC 8502-1080-1|AKARI-IRC-V1 J0415577-531832|IRAS 04147-5326|WISEA J041557.82-531830.9|Gaia DR1 4780166968291567104|WEB  3800|Gaia DR2 4780166972587269120",7.634
"CNS5 1074","LSR J0419+4233",64.96721189013583,42.55844981510972,"PM*","M8/9V","TIC 347994537|Karmn J04198+425|Gaia DR3 229155579195699456|CNS5 1074|2MASS J04195212+4233304|LSPM J0419+4233|LSR J0419+4233|USNO-B1.0 1325-00110870|WISEA J041952.62+423315.4|Gaia DR2 229155579195699456",
"CNS5 11","NAME L 362-29 BC",1.14527988432375,-40.73512876228805,"BD*","L5+L5","TIC 120459871|NAME L 362-29 BC|GJ 1001 C|GJ 1001 B|Gaia DR3 4996141155411984128|CNS5 11|2MUCD 20004|2MASS J00043484-4044058|2MASSW J0004348-404405|[B2006] J000434.8-404405|WDS J00046-4044Ba,Bb|[GDF99] LHS 102B|WDS J00046-4044B|** ERO    1B|** GKI    2|WISEA J000435.49-404422.3|Gaia DR2 4996141155411984128",
"CNS5 1102","LP  890-27",66.63601376845332,-30.800515247043613,"PM*","M4.5","TIC 170636897|SIPS J0426-3048|Gaia DR3 4884761177275202176|2MASS J04263264-3048013|CNS5 1102|LHS  5094|LP  890-27|NLTT 13292|WISEA J042632.58-304806.7|UCAC4 296-004843|PM J04265-3048|Gaia DR2 4884761177275202176",14.054
"CNS5 1111","HD  28343",67.25051592924,21.922699247860002,"PM*","M0.5V","MCC 8|StKM 2-358|GJ 169|HIP 20917|Gaia DR3 145421309108301184|2MASS J04290013+2155214|PLX  990|LSPM J0429+2155|ASCC  749923|USNO-B1.0 1119-00056724|AG+21  422|AGKR  3969|BD+21   652|CNS5 1111|DO 10515|GCRV  2612|GEN# +1.00028343|GSC 01277-00601|HD  28343|HIC  20917|IRAS 04260+2148|LTT 11433|NLTT 13343|NSV  1612|PMC 90-93  2190|PPM  93545|SAO  76626|TYC 1277-601-1|VVO  11|YZ  21  1444|Zkh  61|[GKL99] 118|uvby98 100028343|PLX  990.00|1RXS J042859.8+215519|2EUVE J0429+21.9|EUVE J0429+21.9|WISEA J042900.05+215523.6|UCAC4 560-009898|TIC 17558287|Gaia DR1 145421304810445312|WEB  4018|Gaia DR2 145421309108301184|PM J04290+2155|Karmn J04290+219",8.3
"CNS5 1115","Ross  594",67.60538180741459,39.849838856853346,"BY*","M5V","TIC 238865036|GJ 170|Gaia DR3 179700710496485504|2MASS J04302527+3951000|PLX  992|LSPM J0430+3950|USNO-B1.0 1298-00099245|CSI+39-04270|Ci 20  294|CNS5 1115|G  81-21|GEN# +6.10010170|GEN# +9.80081021|GSC 02884-00349|JP11  5112|LFT  355|LHS  1674|LTT 11440|NLTT 13380|Ross  594|UBV M  42930|USNO 221|V* V546 Per|[FS2003] 0187|[GKL99] 119|[RHG95]   782|PLX  992.00|1RXS J043024.6+395124|WISEA J043025.53+395053.5|UCAC4 650-020581|PM J04304+3950|Gaia DR2 179700710496485504|LTT 10440|Karmn J04304+398",13.959
"CNS5 1116","WISE J043052.92+463331.6",67.71689104166667,46.557629694444444,"BD*","T8","WISEA J043052.96+463331.7|CNS5 1116|WISE J043052.92+463331.6|EQ J0430+4633",
"CNS5 1119","G 175-34",67.79797678916874,58.97707329124862,"PM*","M4.0V","G 175-34|HIC  21088|PM 04268+5854|NAME Stein 2051|** STI 2051A|TIC 356322721|AP J04311147+5858375|GJ 169.1 A|HIP 21088|Gaia DR3 470826482637310080|CNS5 1119|ASCC  176742|2MASS J04311147+5858375|USNO-B1.0 1489-00136092|8pc 181.36A|CCDM J04312+5858A|CSI+58-04268  1|IDS 04224+5849 A|TIC 471011437|JP11  5943|LHS    26|NLTT 13373|UBV    4295|USNO 120|USNO 807|Zkh  62|[RHG95]   780|LSPM J0431+5858W|WDS J04312+5858A|Gaia DR2 470826482635704064|IRAS 04268+5852|AKARI-IRC-V1 J0431126+585823|WISE J043113.20+585816.7|UCAC4 745-033846|WISEA J043113.21+585816.7|PM J04311+5858|NAME Stein 2051A|Karmn J04311+589",10.98
